Customer Name,frequency,Discount,Sales,Profit,Quantity,Avg_monetary_per_unit
Alexis Code,18,0.9000000000000001,5663,685,67,84.52
Alannah Langridge,18,2.35,7440,1025,63,118.1
Bianca Whitford,18,1.1000000000000003,9259,2529,60,154.32
Lorri Stratton,18,3.2,4101,281,64,64.08
Rory Martindale,18,1.6500000000000004,3378,573,47,71.87
Hershel Snyder,18,2.1,3477,420,67,51.9
Koby Tompson,18,0.30000000000000004,4617,1056,59,78.25
Maddison Breen,18,3.5000000000000004,4013,398,62,64.73
Britney Basaldua,18,3.2,3898,577,56,69.61
Elise Godfrey,18,1.2000000000000002,3222,375,66,48.82
Linda Dennis,18,0.2,5709,1504,69,82.74
Tricia Bustamante,18,0.9,7012,537,69,101.62
Mike Obrien,18,4.7,2363,121,54,43.76
Joseph Locke,18,4.1,3176,-337,50,63.52
Charles Carey,18,2.0,4839,-396,65,74.45
Xavier Synan,18,0.6000000000000001,3848,898,78,49.33
Nate Dacey,18,0.75,4698,379,51,92.12
Corey Browne,18,3.2,4434,-50,81,54.74
Scarlett Pollard,17,1.4000000000000004,7137,1895,80,89.21
Everett Dunbar,17,0.7999999999999999,4513,856,56,80.59
Ngoc Orozco,17,1.3,5382,1378,73,73.73
Robert Barnes,17,3.35,2998,-552,48,62.46
Michael Wilson,17,0.4,2401,626,63,38.11
Ella Troy,17,1.15,6126,808,87,70.41
Henry Chandler,17,3.6500000000000004,6624,-66,58,114.21
Gracie Hicks,17,5.199999999999999,2865,-976,64,44.77
Jeffrey Laird,17,1.5,3423,309,64,53.48
Katie Evenden,17,3.1500000000000004,6104,522,65,93.91
Gracie Hunter,17,2.6,2229,225,61,36.54
Julian Mack,17,0.85,5959,1179,78,76.4
Jason Roger,17,0.55,5693,1682,66,86.26
Will Poynton,17,0.8,6094,1797,76,80.18
Joshua Romero,17,1.1500000000000001,4913,1160,60,81.88
Edward Dolling,16,3.5,4094,48,56,73.11
Anna Macdonald,16,1.5000000000000002,4715,660,59,79.92
Sean Wheeler,16,1.4,1390,267,61,22.79
Alex Greenwood,16,2.2,3261,-29,64,50.95
Natasha Sykes,16,2.9000000000000004,6904,1817,66,104.61
Ashton Charles,16,1.0,13056,3780,63,207.24
Jason Calhoun,16,1.55,2353,130,44,53.48
Sam Rees,16,0.4,4426,987,58,76.31
Darcy St George,16,2.7,4893,1314,46,106.37
Craig Rayner,16,0.7999999999999999,2743,705,59,46.49
Ginger Owens,16,0.5,5191,972,53,97.94
Robert James,16,0.9000000000000001,7494,1333,63,118.95
Timothy Pownall,16,3.0500000000000003,4294,233,55,78.07
Eloise Sykes,16,0.35,4920,1342,74,66.49
Mary Parker,16,1.6,3599,560,63,57.13
Evan Allen,16,1.0,3301,-112,70,47.16
Isabelle Gould,16,5.7,3883,-938,57,68.12
Kian Sykes,16,1.2000000000000002,1308,128,55,23.78
Leroy Dudley,16,0.8500000000000001,4502,914,64,70.34
Jeremy Pilcher,15,1.95,6104,1307,43,141.95
Gilbert Montgomery,15,3.0,7873,894,68,115.78
Jodie Mellor,15,3.9000000000000004,3623,171,55,65.87
Gerald Galvan,15,2.6,3803,-610,53,71.75
Rachel Morton,15,1.85,4172,2,53,78.72
Daniel Burke,15,5.300000000000001,1448,-270,51,28.39
Lily Dallachy,15,0.7,6947,694,73,95.16
Jay Andrews,15,0.75,2476,253,46,53.83
Jade Howe,15,4.3999999999999995,3818,-469,68,56.15
Noah Hart,15,1.1,2944,490,56,52.57
Lamar Lockhart,15,0.7,7479,1723,61,122.61
Melissa Bean,15,2.65,4134,675,50,82.68
Faith Chambers,15,0.5,2855,633,62,46.05
Kimberly Jones,15,3.1,4098,86,57,71.89
Aaron Cunningham,15,1.3,2463,459,49,50.27
Ethel Cole,15,0.8500000000000001,2972,666,50,59.44
Elijah Ruatoka,15,0.2,3259,577,51,63.9
Maya O'Sullivan,15,0.95,7215,2418,53,136.13
Lillian Davis,15,1.8,1703,451,53,32.13
Kazuko Mason,15,1.1500000000000001,4402,1146,56,78.61
Betty Reynolds,15,0.6,4478,516,54,82.93
Taj Knetes,15,1.4000000000000001,4258,758,63,67.59
Casey Forte,15,0.9,5515,1665,53,104.06
Xavier Burford,15,2.2,6300,400,44,143.18
Ava Giles,15,2.5,2094,361,62,33.77
Tom Charlton,15,0.1,2051,570,58,35.36
Dominic Scott,14,1.25,3771,631,44,85.7
Dominic Joyce,14,0.3,3294,433,52,63.35
Viola Watson,14,5.9,1855,-284,41,45.24
Nicole Johns,14,4.8,3926,-327,64,61.34
Jennifer Mattingly,14,4.6,2823,-575,42,67.21
Hayley Baldwinson,14,2.0,5935,-56,42,141.31
Erick Tanner,14,1.85,4549,921,51,89.2
Judy Rodriquez,14,0.30000000000000004,3988,777,44,90.64
Winnie Moss,14,0.5499999999999999,3981,731,42,94.79
Declan Dundas,14,2.8000000000000003,4490,-216,78,57.56
Mary Wilson,14,0.8999999999999999,3089,450,45,68.64
Eloise Mahmood,14,0.4,1590,302,55,28.91
Kyle Nash,14,2.6,3734,228,53,70.45
William Horton,14,2.9,4319,-399,61,70.8
Henry Pedder,14,1.35,3205,688,45,71.22
Naomi Hancock,14,0.0,4468,1289,52,85.92
Keith Martinez,14,0.6,2743,315,50,54.86
Kevin Madigan,14,1.35,4949,641,52,95.17
Molly Palmer,14,1.25,8289,2335,48,172.69
Kyle Beard,14,0.5,6212,2121,63,98.6
Caleb Kenyon,14,1.7000000000000002,3381,1141,56,60.38
Sophie Watson,14,0.4,2558,586,50,51.16
Sofia Goddard,14,1.8,2329,366,47,49.55
Elise Ali,14,2.4,5050,-96,41,123.17
Paige Hopley,14,2.0,2531,204,58,43.64
Ethan Cover,14,0.6000000000000001,3180,585,49,64.9
Zachary Disher,14,0.8,4774,1464,51,93.61
Angelina Hurst,14,1.9,3307,578,62,53.34
Christopher Goold,14,1.1,2689,437,64,42.02
Georgia Bermingham,14,2.85,2294,111,49,46.82
Mackenzie Whitford,14,0.6,5061,-146,62,81.63
Ruby Blomfield,14,1.2,3680,-1,43,85.58
Amy Nixon,14,5.300000000000001,2598,-933,61,42.59
Zachary Warner,14,2.5,5037,584,47,107.17
Madelyn Anderson,14,0.44999999999999996,6071,1281,46,131.98
Angelina Beeton,14,2.6,4163,513,63,66.08
Ruth Williams,14,5.9,2413,67,48,50.27
Joel McKean,14,1.7500000000000004,3419,457,53,64.51
Jasmine Hanson,14,1.75,3288,481,61,53.9
Archie Whittaker,14,0.6000000000000001,5475,1002,53,103.3
James Groom,14,4.1,1983,-945,45,44.07
Daniel Lucas,14,2.45,2082,-21,41,50.78
Darcy Farnell,14,1.1,2633,440,35,75.23
Holly Noble,14,4.35,6577,907,49,134.22
Brooke Hodgson,13,0.55,2289,170,33,69.36
Gerald Booth,13,1.35,2145,125,38,56.45
Walter Coley,13,0.7,9139,1010,61,149.82
Holly Doyle,13,1.0,3562,1004,50,71.24
Michael Myers,13,1.9000000000000001,1915,165,54,35.46
Gary Crume,13,1.9,1532,160,49,31.27
Eva Arnold,13,1.7000000000000002,1842,306,58,31.76
Lauren Knight,13,1.6,3956,93,52,76.08
Kristina Moore,13,1.6000000000000003,3634,568,59,61.59
Sophie Franklin,13,1.7499999999999998,3569,-95,54,66.09
Thomas McCallum,13,1.3,6161,2085,55,112.02
Makayla Elphinstone,13,0.6,3435,702,55,62.45
Lane Taylor,13,0.65,3926,787,56,70.11
Benjamin Lee,13,1.4000000000000001,3018,-169,53,56.94
Tahlia Coughlan,13,1.55,6264,1222,56,111.86
Tyson Jonathan,13,0.5,2730,782,57,47.89
Caitlin Schmidt,13,2.45,2036,161,37,55.03
Lara Stoate,13,0.7999999999999999,6732,2658,44,153.0
Eden Gooseberry,13,1.5,1888,345,43,43.91
Joseph Ford,13,0.7999999999999999,2969,433,49,60.59
John Basser,13,0.9,6473,194,57,113.56
Rebecca Cook,13,1.4500000000000002,1490,78,54,27.59
Sam French,13,2.6999999999999997,3753,157,49,76.59
Phoebe Moore,13,0.85,9641,1652,53,181.91
Samantha Reynell,13,1.1500000000000001,4018,816,59,68.1
Ricky Cullen,13,1.7000000000000002,2261,582,56,40.38
Riley Howells,13,0.30000000000000004,2663,743,51,52.22
Kieran Herbert,13,0.9,2369,440,35,67.69
Ada Dalton,13,0.45000000000000007,3520,656,49,71.84
Charlie Donnelly,13,0.8999999999999999,6348,787,55,115.42
Demi Power,13,2.3,2146,-153,63,34.06
Denise Harris,13,1.05,5898,1864,41,143.85
Julian Corbin,13,0.7000000000000001,3423,872,56,61.12
Jacob Carter,13,0.95,3511,968,43,81.65
William Reichert,13,2.25,4488,93,49,91.59
Claudia Poore,13,2.9,4427,-160,48,92.23
Jack Brier,13,1.4500000000000002,4366,412,61,71.57
Imogen Steele,13,0.65,4997,323,51,97.98
Kiera Chandler,13,0.95,7570,1153,74,102.3
Isabella Fowler,13,1.85,1853,67,32,57.91
Isabella Secombe,13,1.8000000000000003,6533,634,44,148.48
Piper Wilder-Neligan,13,2.5,3279,-1393,59,55.58
Ebony Northcott,13,1.05,3613,857,52,69.48
Natasha Heane,13,0.4,3392,549,58,58.48
Katie Thom,13,0.7,2745,180,45,61.0
Anna Moreton,13,2.8000000000000003,1731,-75,37,46.78
Claire Harrington,13,0.9,4292,479,47,91.32
Georgina Fuller,12,1.5500000000000003,3607,-174,52,69.37
Jason Martinez,12,1.25,4275,407,47,90.96
Toby Patterson,12,2.75,4273,-1036,60,71.22
Jett Osman,12,0.5,2174,351,52,41.81
Lily Tyler,12,0.35,3747,1183,39,96.08
Hudson Ordell,12,0.6,3956,527,50,79.12
Amanda Hutcherson,12,2.5,4246,769,47,90.34
Tyler Miah,12,2.0,3591,481,33,108.82
Leo Jenkins,12,0.6,4351,693,48,90.65
James Bruns,12,0.95,3745,290,42,89.17
Joseph Banks,12,0.9,4103,663,53,77.42
Alice Currie,12,0.5,3875,1189,36,107.64
Harry Nelson,12,1.0,5519,815,39,141.51
Julie Ochoa,12,1.55,3747,570,39,96.08
Ben Summerville,12,0.30000000000000004,2416,505,45,53.69
Kaitlyn Dorsch,12,4.699999999999999,1185,-156,41,28.9
Ava Corbin,12,0.8999999999999999,2495,646,43,58.02
Bonnie Wilson,12,0.75,5119,-661,46,111.28
Isabella Falkiner,12,2.1,2410,3,42,57.38
Lloyd Barnes,12,0.7,2591,449,52,49.83
Angus Ibsch,12,1.6500000000000004,5951,-675,39,152.59
Desiree Hurt,12,0.2,4416,1210,46,96.0
Dylan Disney,12,0.2,2737,502,44,62.2
Eve Bates,12,0.6000000000000001,5017,1184,43,116.67
Samuel Hardey,12,0.45000000000000007,1448,318,34,42.59
Skye McCaffrey,12,1.2000000000000002,1589,397,51,31.16
Noah Chamberlain,12,0.2,2250,513,33,68.18
Sandra Hooks,12,0.7,4057,712,54,75.13
Charles Builder,12,1.7000000000000002,2826,-262,43,65.72
Mary Hough,12,1.05,3208,836,59,54.37
David Harney,12,0.7000000000000001,3960,536,52,76.15
Eden Kern,12,0.9,1640,137,43,38.14
Ethan Barrett,12,1.6500000000000006,2630,-221,43,61.16
Mary Saterfiel,12,0.35,4000,964,40,100.0
Matthew Gill,12,0.25,2259,139,41,55.1
Anna Kelly,12,3.3,2686,-538,52,51.65
Maya Summers,12,0.1,3252,617,49,66.37
Evie Morton,12,0.6499999999999999,5544,1220,42,132.0
Skye Hammond,12,1.55,4071,151,44,92.52
Luz Reilly,12,2.45,4825,228,45,107.22
Richard Harvey,12,0.9,4427,607,43,102.95
Abby Mei,12,0.25,5940,1359,50,118.8
Ruby Frost,12,0.30000000000000004,2266,361,54,41.96
Thomas Shepherd,12,0.7,3243,214,51,63.59
Florence Wark,12,0.4,7156,807,38,188.32
Corey Norton,12,0.30000000000000004,5004,1264,48,104.25
Zara Money,11,0.0,2862,960,47,60.89
Scarlett Truchanas,11,0.2,2879,362,32,89.97
Kian Pollard,11,0.30000000000000004,2677,429,41,65.29
Jose Gullo,11,0.8999999999999999,3327,807,35,95.06
Edward Hodges,11,0.9,1698,412,33,51.45
Zoe Lowin,11,0.3,1754,279,39,44.97
Indiana Wekey,11,1.1,5653,912,48,117.77
Edward Martinez,11,0.0,3818,913,49,77.92
Millie Franklin,11,1.3,3676,-120,48,76.58
Edward Zwar,11,0.6000000000000001,2154,656,48,44.88
Bailey Morris,11,0.6,1482,331,30,49.4
Ronald Everson,11,2.25,1383,46,34,40.68
Isabelle Grimstone,11,0.5,1951,455,40,48.78
Alta Nokes,11,1.1,1163,205,34,34.21
Dylan Dry,11,0.75,2503,417,37,67.65
Kayla Ronald,11,1.5,4153,103,47,88.36
Ryan Greenwood,11,2.25,2235,198,38,58.82
Alana Zahel,11,0.85,2954,375,43,68.7
Nicholas Watkins,11,1.7999999999999998,2368,161,52,45.54
Amber Adams,11,0.85,5260,384,41,128.29
Daniel Hamilton,11,1.65,4359,1088,50,87.18
William Somerville,11,1.25,1779,187,41,43.39
Daniel Howells,11,0.7,2474,461,33,74.97
Paige Horsfall,11,0.9,4514,440,49,92.12
Jordan Peacock,11,3.0,4911,892,40,122.78
Aidan Hayward,11,0.5499999999999999,4640,959,39,118.97
Mike Langer,11,0.15,2275,650,35,65.0
Francesca Bowen,11,1.0,1555,387,30,51.83
Holly Black,11,0.35,4106,1163,52,78.96
Gemma Curlewis,11,0.30000000000000004,4545,681,41,110.85
Mark Briggs,11,2.2,2519,209,31,81.26
Evie Rees,11,1.4000000000000001,1207,-60,42,28.74
Georgina Storey,11,0.6,4322,26,38,113.74
Madison Chadwick,11,0.35,9206,1495,50,184.12
Georgia Blackburn,11,0.85,4037,638,49,82.39
Harriet Chadwick,11,2.15,2108,172,37,56.97
Eva Hargraves,11,1.65,3615,-970,35,103.29
Lincoln Want,11,1.75,5840,-237,56,104.29
George Dawson,11,0.7000000000000001,8506,2944,45,189.02
Ali Jerger,11,0.65,4978,1502,38,131.0
Mark Westfall,11,2.1,1494,19,35,42.69
Chloe O'Dea,11,0.45000000000000007,1406,324,35,40.17
Michael Kim,11,0.5,4945,1352,37,133.65
Logan Tilley,11,1.5,2670,0,45,59.33
Walter Aguilar,11,0.65,2726,482,46,59.26
Travis Corchado,11,0.44999999999999996,2838,169,29,97.86
Erin Gill,11,1.3,3553,669,35,101.51
Joe Gilbert,10,1.05,3892,127,38,102.42
Luca Varley,10,1.4,3378,343,42,80.43
Lydia Webster,10,0.6,2492,78,36,69.22
Joan Douglas,10,0.7,4745,1490,42,112.98
Ryan Price,10,0.0,3782,699,39,96.97
Lisa Boyette,10,0.1,2907,965,42,69.21
Jonathan Bottrill,10,1.7000000000000002,4060,-997,47,86.38
Madeleine Nixon,10,0.6000000000000001,1486,301,39,38.1
Robert Ramsey,10,0.0,4879,1726,35,139.4
Richard Poole,10,3.65,2355,-859,41,57.44
Paul Cleary,10,0.15,2759,618,47,58.7
Louise Walsh,10,0.0,1234,278,34,36.29
Jessica Williams,10,0.85,1775,207,44,40.34
John Harris,10,1.1,1877,44,38,49.39
Vaughn Gibbs,10,1.9500000000000002,2143,268,30,71.43
Patricia Lukes,10,1.3,1339,311,43,31.14
Molly Crawford,10,0.5,2130,359,34,62.65
Sebastian Barber,10,1.85,2224,381,48,46.33
Thomas Stephens,10,0.95,2998,716,38,78.89
Kristen Holland,10,1.6500000000000001,1376,107,42,32.76
Melody Nelson,10,3.1999999999999997,5653,-3957,41,137.88
Spencer Calvert,10,0.5,565,128,17,33.24
Kiara Allen,10,0.2,2372,471,27,87.85
Larry Lambert,10,2.8,5220,-410,45,116.0
Laura Akhtar,10,0.6000000000000001,1364,350,36,37.89
Millie Newman,10,0.15,1682,439,40,42.05
Steven Prince,10,1.05,2027,-55,34,59.62
Alice Black,10,2.5999999999999996,2195,329,34,64.56
Oscar Serena,10,0.6,2495,579,46,54.24
Leah Derham,10,1.1,678,99,25,27.12
Victoria Burke,10,0.8,2319,109,36,64.42
Sandra Cook,10,0.7000000000000001,3608,445,42,85.9
Niamh Mann,10,1.8,2153,160,28,76.89
Leslie Wilson,10,0.35,3554,396,39,91.13
Liam Newton,10,1.2,2008,303,36,55.78
Libby Allan,10,3.5,1220,-202,36,33.89
Libby McDonald,10,1.4,5516,1206,29,190.21
Alexandra Portus,10,1.8,3959,-381,54,73.31
Kristal McCaslin,10,3.3,1979,48,37,53.49
Louis Wilson,10,0.55,4113,1383,41,100.32
Joseph Wright,10,0.5499999999999999,3098,527,44,70.41
Jade Daniels,10,0.35,2008,328,42,47.81
Faith Greenwood,10,2.6,870,59,24,36.25
Bianca Monsoor,10,2.5,3045,28,42,72.5
Blake Lymburner,10,0.7,1003,129,38,26.39
Daryl Claypool,10,0.95,3127,686,37,84.51
Hannah Conyers,10,0.25,1413,300,40,35.33
Chloe Landale,10,1.0,2561,750,42,60.98
Charlotte Taylor,10,0.15,3738,1288,45,83.07
Charlotte Savage,10,0.95,2660,-663,35,76.0
Charlie Power,10,0.4,5213,1175,47,110.91
Charlie Horrocks,10,1.2,2857,452,32,89.28
Hazel Turner,10,1.8,927,-223,32,28.97
Cerys Edwards,10,0.5,2082,485,42,49.57
Hollie Norris,10,0.44999999999999996,1357,414,22,61.68
Imogen Symon,10,1.0,4182,576,30,139.4
Callum Hagai,10,1.1,2758,578,51,54.08
Carol Evans,10,0.6,3069,91,40,76.72
Freddie Kaur,10,0.9500000000000001,1631,513,52,31.37
Isabella Cleary,10,1.25,1498,109,34,44.06
Ashton Morey,10,1.4000000000000001,3542,1005,31,114.26
Donald Pak,10,0.7999999999999999,1624,243,42,38.67
Ashley Baldwinson,10,1.3499999999999999,2734,-33,31,88.19
Jayden Ali,10,1.25,1402,-127,30,46.73
Lucas Wood,9,0.65,3828,962,37,103.46
Hayley Swanston,9,1.0,2394,-913,35,68.4
Rose Heap,9,0.75,2355,306,29,81.21
Alexander Bennett,9,1.4500000000000002,3452,-407,32,107.88
Harvey Daniels,9,0.1,5765,1236,40,144.12
Donna Farr,9,1.6,2341,-863,34,68.85
Nancy Seay,9,0.4,5428,1927,45,120.62
Samuel Thomas,9,0.1,2517,796,41,61.39
Molly De Mole,9,0.0,558,95,21,26.57
Lucas Northcott,9,0.4,4330,581,29,149.31
Hollie Morris,9,0.4,3323,329,41,81.05
Eva Butler,9,0.35,1671,377,38,43.97
Casey Beckett,9,1.2000000000000002,1342,175,39,34.41
Shannon Howe,9,3.2,1380,-636,32,43.12
Amelie North,9,2.2,2653,-70,64,41.45
Sienna Williamson,9,0.15,2079,322,24,86.62
Ethan Howarth,9,0.0,1403,317,31,45.26
Millie Arnold,9,1.2,1705,604,37,46.08
Leon Barnes,9,0.1,2719,416,21,129.48
Cooper Burn,9,1.7000000000000002,1064,57,33,32.24
Cynthia Zielinski,9,0.6,4960,1125,39,127.18
Nathan Iqbal,9,0.5,1499,365,25,59.96
Maddison Newman,9,1.9,1043,305,44,23.7
Norma McCowan,9,0.65,2803,649,31,90.42
Freya Briggs,9,1.3,3677,-617,32,114.91
Alexandra Whitehouse,9,0.95,2371,100,32,74.09
Freya Daniels,9,1.15,2850,99,27,105.56
David Lowe,9,3.0,1394,-518,27,51.63
Patrick Townson,9,0.9500000000000001,2889,509,26,111.12
Nelson Olsen,9,1.4500000000000002,4709,1061,37,127.27
Gail Thompson,9,0.3,5272,1043,50,105.44
Lisa Watkins,9,1.2,1177,336,25,47.08
Ewan Hyde,9,2.5,472,-14,22,21.45
Sophia Owen,9,1.0,1797,256,37,48.57
Lisa Casey,9,1.7,997,24,35,28.49
David Chadwick,9,0.6000000000000001,1656,263,36,46.0
Peggy Hua,9,0.4,4965,951,31,160.16
Madison Rowley,9,1.4,4450,447,30,148.33
Poppy Gunn,9,0.1,1177,301,23,51.17
Rachel Norton,9,0.44999999999999996,7376,2729,46,160.35
Rebecca Chamberlain,9,0.0,1154,318,32,36.06
Annabelle Heydon,9,3.25,4740,-1766,37,128.11
Eric Anderson,9,3.15,652,-494,31,21.03
Isabelle Vaughan,9,0.55,5121,179,39,131.31
Julian Dobie,9,4.6,702,-374,23,30.52
Ben Hogben,9,2.6,3505,-1684,41,85.49
Justin Armit,9,1.2,3278,718,40,81.95
Wanda Wingert,9,0.5,1122,409,33,34.0
Tara Hines,9,2.7,3917,-238,48,81.6
Brandon Preston,9,2.6,3744,254,47,79.66
William Jolly,9,1.1,3182,86,45,70.71
Jonathan Summons,9,1.1,970,84,36,26.94
Aubrey Shedd,9,1.0,485,84,26,18.65
Tyson Ebden,9,1.5499999999999998,5732,334,32,179.12
Sue Castaneda,9,0.1,4460,251,39,114.36
Brooke Horton,9,1.6999999999999997,2363,-402,31,76.23
Joel Ortega,9,0.4,6121,1975,28,218.61
Andres Woodruff,9,1.85,3332,-562,26,128.15
Tammy Chamblee,9,0.30000000000000004,6058,407,51,118.78
Toby Conway,9,0.0,1576,554,29,54.34
Josh Wilkinson,9,0.0,1096,409,42,26.1
Juanita Smalls,9,2.7,1472,29,42,35.05
Kayleigh Farmer,9,0.7000000000000001,1371,338,31,44.23
Abbie Perry,9,0.30000000000000004,1313,243,26,50.5
Juan Smith,9,0.4,7445,748,49,151.94
Bianca Crisp,9,1.4,1739,78,37,47.0
Jake Barry,9,0.9,949,262,25,37.96
Caitlyn Willoughby,9,1.25,1407,92,24,58.62
Bethany Child,8,0.8,1179,117,20,58.95
Kerry Dorsey,8,0.8,2744,575,24,114.33
Toni Lanz,8,0.75,2723,-589,35,77.8
Dennis Conaway,8,0.7,2396,589,24,99.83
Dominic Elliott,8,0.3,1166,98,25,46.64
David Mortlock,8,1.9,1029,-176,32,32.16
David To,8,1.35,2567,-1840,29,88.52
Tyson Brookman,8,2.1,660,-175,36,18.33
Timothy Jimenez,8,0.25,1824,233,34,53.65
Madeline Crooks,8,1.1,1126,57,26,43.31
Dominic Jordan,8,0.8,3333,934,28,119.04
Ewan Walton,8,0.0,1296,345,25,51.84
Ellie Chapman,8,0.1,852,172,36,23.67
Mia Pugh,8,1.75,2076,-118,25,83.04
Michael Halcomb,8,0.30000000000000004,1884,147,18,104.67
Angus Gether,8,0.0,1001,323,33,30.33
Edward Davidson,8,1.2,1006,144,25,40.24
Mason Adams,8,0.6,1363,145,29,47.0
Jennifer Douglas,8,0.4,888,155,29,30.62
Zoe Lanigan,8,2.4,3249,-755,38,85.5
Archie Springfield,8,2.2,688,-131,28,24.57
Eva Sanderson,8,0.8,2244,-42,31,72.39
Ashton Foley,8,0.85,3392,997,32,106.0
Mariam McMeckan,8,0.9,1788,197,39,45.85
Wynona Janelle,8,1.4000000000000001,1333,-75,26,51.27
Nate Wilder-Neligan,8,0.2,1412,476,23,61.39
Madison Holloway,8,0.2,1048,279,26,40.31
Jamie Le Grand,8,0.6,2524,480,29,87.03
Dominic Stephenson,8,0.0,1290,257,22,58.64
Aaron Davey,8,1.1,2238,59,42,53.29
Harry Ahmed,8,1.25,1722,-147,33,52.18
Lily Skurrie,8,0.3,2423,376,36,67.31
Daisy Summers,8,0.7,1451,259,35,41.46
Harvey Drozd,8,2.2,2303,-46,30,76.77
Chelsea Howell,8,1.5,1741,-408,33,52.76
Katherine Grant,8,1.35,2813,-529,39,72.13
Georgina Arnold,8,1.0,576,-65,18,32.0
Sarah Cross,8,0.1,4997,1627,33,151.42
Isabelle Radcliffe,8,0.15,1864,390,27,69.04
Leo Bannister,8,0.7,1868,318,41,45.56
Leroy Samson,8,2.9,1732,-1899,24,72.17
Carrie Boots,8,0.25,2368,347,41,57.76
Sharon Kerley,8,1.15,1407,145,32,43.97
Kai Leonard,8,2.0,4230,-512,53,79.81
Jacob Varley,8,1.6,387,13,21,18.43
Ralph Holmes,8,0.5,969,250,23,42.13
Julia Martell,8,0.4,1725,355,41,42.07
Spencer Akhtar,8,1.1,1587,-8,33,48.09
Lilian Macredie,8,0.2,1572,377,28,56.14
Gregory Rodriguez,8,0.6,3095,-1362,37,83.65
Gracie Powell,8,0.25,3629,376,39,93.05
Rhonda Ford,8,2.8,1172,-373,44,26.64
Kimberly Boyd,8,1.1500000000000001,4357,325,36,121.03
Anthony Spooner,7,1.65,1953,-695,27,72.33
Dylan O'Halloran,7,0.8,528,43,26,20.31
Steven Cordoba,7,0.6499999999999999,1720,178,29,59.31
Sherron Henegar,7,0.30000000000000004,3904,545,37,105.51
